id,n_victimas,lugar_del_hecho,comuna,altura,participantes,calle,acusado,tipo_de_calle,hora,id_hecho,fecha,aaaa,mm,dd,rol,victima,sexo,edad,fecha_fallecimiento
2020-0001,1,uriarte y loyola,15,sin dato,peaton-auto,uriarte,auto,calle,10:40:00,2020-0001,2020-01-04,2020,1,4,peaton,peaton,femenino,87,2020-01-04
2020-0002,1,saraza y varela av.,7,sin dato,moto-objeto fijo,saraza,objeto fijo,avenida,20:00:00,2020-0002,2020-01-05,2020,1,5,conductor,moto,masculino,36,2020-01-07
2020-0003,1,rivadavia av. y combate de los pozos,3,sin dato,peaton-auto,rivadavia av.,auto,avenida,06:00:00,2020-0003,2020-01-11,2020,1,11,peaton,peaton,masculino,44,2020-01-11
2020-0004,1,rodriguez peña y rivadavia av.,1,sin dato,peaton-pasajeros,rodriguez pe?a,pasajeros,avenida,21:40:00,2020-0004,2020-01-14,2020,1,14,peaton,peaton,masculino,82,2020-01-15
2020-0005,1,24 de noviembre y san juan av.,3,sin dato,moto-pasajeros,24 de noviembre,pasajeros,avenida,06:00:00,2020-0005,2020-01-14,2020,1,14,conductor,moto,masculino,25,2020-02-10
2020-0006,1,lafuente av. 2250,8,2250.0,moto-cargas,lafuente av.,cargas,avenida,12:55:00,2020-0006,2020-01-20,2020,1,20,conductor,moto,masculino,23,2020-01-20
2020-0007,1,chile y lima ,1,sin dato,peaton-moto,chile,moto,calle,00:37:00,2020-0007,2020-01-27,2020,1,27,peaton,peaton,masculino,52,2020-01-27
2020-0008,1,cordoba av. y jean jaures,2,sin dato,moto-cargas,cordoba av.,cargas,avenida,07:10:00,2020-0008,2020-01-30,2020,1,30,conductor,moto,masculino,49,2020-01-30
2020-0009,1,"peron, juan domingo, tte. general y salguero, jeronimo",5,sin dato,peaton-auto,"peron, juan domingo, tte. general",auto,calle,14:50:00,2020-0009,2020-02-04,2020,2,4,peaton,peaton,masculino,48,2020-02-05
2020-0010,1,9 de julio av. y san juan av.,1,sin dato,moto-objeto fijo,9 de julio av.,objeto fijo,avenida,05:45:00,2020-0010,2020-02-08,2020,2,8,conductor,moto,masculino,0,2020-02-08
2020-0011,1,colombres 466,5,466.0,moto-cargas,colombres,cargas,calle,11:29:00,2020-0011,2020-02-12,2020,2,12,conductor,moto,masculino,31,2020-02-12
2020-0012,1,mexico 2860,3,2860.0,peaton-moto,mexico,moto,calle,21:00:00,2020-0012,2020-02-18,2020,2,18,peaton,peaton,femenino,66,2020-02-18
2020-0013,1,combatientes de malvinas av. y triunvitaro av.,15,sin dato,peaton-moto,combatientes de malvinas av.,moto,avenida,12:00:00,2020-0013,2020-02-20,2020,2,20,peaton,peaton,femenino,58,2020-03-03
2020-0014,1,bermudez y nogoya,11,sin dato,moto-pasajeros,bermudez,pasajeros,calle,02:14:00,2020-0014,2020-02-27,2020,2,27,conductor,moto,masculino,0,2020-02-27
2020-0015,1,brasil av. y paseo colon av.,1,sin dato,moto-pasajeros,brasil av.,pasajeros,avenida,14:30:00,2020-0015,2020-02-28,2020,2,28,conductor,moto,masculino,29,2020-02-28
2020-0016,1,"alem,leandro n. av. 770",1,770.0,peaton-pasajeros,"alem, leandro n. av.",pasajeros,avenida,13:00:00,2020-0016,2020-02-29,2020,2,29,peaton,peaton,masculino,68,2020-03-09
2020-0017,1,belgrano av. y rincon,3,sin dato,peaton-auto,belgrano av.,auto,avenida,23:00:00,2020-0017,2020-03-05,2020,3,5,peaton,peaton,masculino,0,2020-03-05
2020-0018,1,"udaondo, guillermo av. 901",13,901.0,moto-objeto fijo,"udaondo, guillermo av.",objeto fijo,avenida,14:00:00,2020-0018,2020-03-09,2020,3,9,conductor,moto,masculino,31,2020-03-09
2020-0019,1,constitucion y castro,5,sin dato,peaton-auto,constitucion,auto,calle,21:00:00,2020-0019,2020-03-10,2020,3,10,peaton,peaton,femenino,80,2020-03-10
2020-0020,1,"pueyrredon av. y gomez, valentin",3,sin dato,peaton-moto,pueyrredon av.,moto,avenida,17:30:00,2020-0020,2020-03-13,2020,3,13,peaton,peaton,femenino,74,2020-03-17
2020-0021,1,"bravo, mario 1279",2,1279.0,peaton-auto,"bravo, mario",auto,calle,16:50:00,2020-0021,2020-03-14,2020,3,14,peaton,peaton,femenino,87,2020-03-14
2020-0022,1,"dellepiane, luis, tte. gral. y escalada av.",9,sin dato,auto-cargas,autopista dellepiane luis tte. gral.,cargas,autopista,06:15:00,2020-0022,2020-04-07,2020,4,7,pasajero_acompañante,auto,masculino,44,2020-04-07
2020-0023,1,"araoz de lamadrid, gregorio, gral. y brown, alte. av.",4,sin dato,auto-cargas,"araoz de lamadrid, gregorio, gral.",cargas,avenida,18:42:00,2020-0023,2020-04-09,2020,4,9,conductor,auto,masculino,44,2020-05-03
2020-0024,1,murguiondo 1339,9,1339.0,auto-auto,murguiondo,auto,calle,07:58:00,2020-0024,2020-04-24,2020,4,24,conductor,auto,masculino,53,2020-04-24
2020-0025,1,rivadavia av. 2551,3,2551.0,peaton-auto,rivadavia av.,auto,avenida,05:35:00,2020-0025,2020-05-12,2020,5,12,peaton,peaton,masculino,0,2020-05-12
2020-0026,1,"lugones, leopoldo av. km 6,1",14,sin dato,moto-objeto fijo,"lugones, leopoldo av.",objeto fijo,autopista,06:40:00,2020-0026,2020-05-17,2020,5,17,conductor,moto,masculino,28,2020-05-17
2020-0027,1,"dellepiane, luis, tte. gral. y montiel",8,sin dato,peaton-cargas,"dellepiane, luis, tte. gral.",cargas,avenida,08:00:00,2020-0027,2020-05-18,2020,5,18,peaton,peaton,masculino,76,2020-05-18
2020-0028,1,"scalabrini ortiz, raul av. y warnes av.",15,sin dato,peaton-pasajeros,"scalabrini ortiz, raul av.",pasajeros,avenida,10:00:00,2020-0028,2020-05-19,2020,5,19,peaton,peaton,masculino,91,2020-05-23
2020-0029,1,"paz, gral. av. y roffo, angel h., dr.",9,sin dato,peaton-pasajeros,"paz, gral. av.",pasajeros,gral paz,14:00:00,2020-0029,2020-06-10,2020,6,10,peaton,peaton,masculino,80,2020-06-12
2020-0030,1,san martin av. 1550,6,1550.0,multiple,san martin av.,multiple,avenida,15:00:00,2020-0030,2020-06-16,2020,6,16,conductor,moto,masculino,40,2020-06-16
2020-0031,1,"garzon, eugenio, gral. av. y larraya",9,sin dato,moto-cargas,"garzon, eugenio, gral. av.",cargas,avenida,08:00:00,2020-0031,2020-06-30,2020,6,30,conductor,moto,masculino,29,2020-06-30
2020-0032,1,corrientes av. y serrano,15,sin dato,moto-auto,corrientes av.,auto,avenida,23:00:00,2020-0032,2020-07-10,2020,7,10,conductor,moto,masculino,21,2020-07-10
2020-0033,1,"paz, gral. av. y del libertador av.",13,sin dato,auto-objeto fijo,"paz, gral. av.",objeto fijo,gral paz,06:25:00,2020-0033,2020-07-19,2020,7,19,conductor,auto,masculino,32,2020-07-19
2020-0034,1,"mitre, bartolome y anchorena, tomas manuel de, dr.",3,sin dato,peaton-auto,"mitre, bartolome",auto,calle,03:20:00,2020-0034,2020-08-02,2020,8,2,peaton,peaton,femenino,0,2020-08-02
2020-0035,1,"au 25 de mayo altura pumacahua y recuero, casimiro, tte. cnel.",7,sin dato,moto-pasajeros,autopista 25 de mayo,pasajeros,autopista,05:30:00,2020-0035,2020-08-04,2020,8,4,conductor,moto,masculino,40,2020-08-04
2020-0036,1,"scalabrini ortiz, raul av. y paraguay",14,sin dato,peaton-moto,"scalabrini ortiz, raul av.",moto,avenida,18:40:00,2020-0036,2020-08-07,2020,8,7,peaton,peaton,masculino,72,2020-08-22
2020-0037,1,"fernandez de la cruz, f., gral. av. y varela av.",8,sin dato,peaton-auto,"fernandez de la cruz, f., gral. av.",auto,avenida,04:30:00,2020-0037,2020-08-29,2020,8,29,peaton,peaton,masculino,38,2020-08-29
2020-0038,2,"las heras general av. y diaz, cnel. av.",14,sin dato,auto-auto,las heras general av.,auto,avenida,04:00:00,2020-0038,2020-08-30,2020,8,30,conductor,auto,masculino,46,2020-08-30
2020-0038,2,"las heras general av. y diaz, cnel. av.",14,sin dato,auto-auto,las heras general av.,auto,avenida,04:00:00,2020-0038,2020-08-30,2020,8,30,conductor,auto,masculino,64,2020-08-30
2020-0039,1,murguiondo 2700,9,sin dato,peaton-cargas,murguiondo,cargas,calle,19:17:42,2020-0039,2020-09-01,2020,9,1,peaton,peaton,masculino,44,2020-09-01
2020-0040,1,"castillo, ramon s., pres. av. y calle 12",2,sin dato,auto-objeto fijo,"castillo, ramon s., pres. av.",objeto fijo,avenida,03:30:00,2020-0040,2020-09-12,2020,9,12,conductor,auto,masculino,0,2020-09-12
2020-0041,1,"curapaligue y peron, eva av.",7,sin dato,moto-pasajeros,curapaligue,pasajeros,avenida,01:45:00,2020-0041,2020-09-28,2020,9,28,conductor,moto,masculino,34,2020-09-28
2020-0042,1,"diaz, ana y soldado de la frontera av.",8,sin dato,peaton-pasajeros,"diaz, ana",pasajeros,avenida,17:10:00,2020-0042,2020-09-29,2020,9,29,peaton,peaton,femenino,53,2020-09-29
2020-0043,1,"alem, leandro n. av. y paraguay",1,sin dato,peaton-pasajeros,"alem, leandro n. av.",pasajeros,avenida,17:20:00,2020-0043,2020-09-30,2020,9,30,peaton,peaton,masculino,64,2020-09-30
2020-0044,1,la plata av. e independencia,6,sin dato,auto-auto,la plata av.,auto,avenida,00:20:00,2020-0044,2020-10-05,2020,10,5,conductor,auto,masculino,43,2020-10-05
2020-0045,1,"paz, gral. av. y 27 de febrero av.",8,sin dato,auto-cargas,"paz, gral. av.",cargas,gral paz,03:00:00,2020-0045,2020-10-19,2020,10,19,conductor,auto,masculino,50,2020-10-19
2020-0046,1,"nazca av. y carranza, adolfo p.",11,sin dato,moto-moto,nazca av.,moto,avenida,21:00:00,2020-0046,2020-10-27,2020,10,27,conductor,moto,masculino,41,2020-10-27
2020-0047,1,autopista campora altura lacarra av.,9,sin dato,peaton-cargas,autopista presidente hector j. campora,cargas,autopista,14:00:00,2020-0047,2020-10-27,2020,10,27,peaton,peaton,masculino,15,2020-10-27
2020-0048,1,dorrego av. 614,15,614.0,moto-objeto fijo,dorrego av.,objeto fijo,avenida,20:20:00,2020-0048,2020-10-29,2020,10,29,conductor,moto,masculino,41,2020-10-29
2020-0049,1,"del libertador av. y ramos mejia, jose maria, dr. av.",1,sin dato,peaton-auto,del libertador av.,auto,avenida,20:00:00,2020-0049,2020-10-30,2020,10,30,peaton,peaton,masculino,36,2020-10-30
2020-0050,1,santa fe av. y godoy cruz,14,sin dato,peaton-moto,santa fe av.,moto,avenida,22:00:00,2020-0050,2020-11-01,2020,11,1,peaton,peaton,femenino,28,2020-11-01
2020-0051,1,avellaneda av. y mercedes,10,sin dato,moto-auto,avellaneda av.,auto,avenida,00:40:00,2020-0051,2020-11-05,2020,11,5,conductor,moto,masculino,49,2020-11-05
2020-0052,1,tucuman y pueyrredon av.,3,sin dato,bicicleta-cargas,tucuman,cargas,avenida,06:50:00,2020-0052,2020-11-07,2020,11,7,ciclista,bicicleta,masculino,44,2020-11-07
2020-0053,1,"alcorta, amancio av. y einstein, alberto",4,sin dato,auto-auto,"alcorta, amancio av.",auto,avenida,03:30:00,2020-0053,2020-11-09,2020,11,9,pasajero_acompañante,auto,masculino,27,2020-11-09
2020-0054,1,inclan y alberti,4,sin dato,bicicleta-auto,inclan,auto,calle,09:00:00,2020-0054,2020-11-19,2020,11,19,ciclista,bicicleta,masculino,59,2020-11-23
2020-0055,1,olazabal av. 5437,12,5437.0,peaton-cargas,olazabal av.,cargas,avenida,12:30:00,2020-0055,2020-11-19,2020,11,19,peaton,peaton,masculino,91,2020-12-11
2020-0056,1,"paz, gral. av. y doctor ramon carrillo",8,sin dato,moto-cargas,"paz, gral. av.",cargas,gral paz,13:00:00,2020-0056,2020-11-21,2020,11,21,conductor,moto,femenino,34,2020-11-21
2020-0057,1,"nazca av. y viale, luis",11,sin dato,peaton-auto,nazca av.,auto,avenida,07:45:00,2020-0057,2020-11-23,2020,11,23,peaton,peaton,masculino,84,2020-11-23
2020-0058,1,"olivera av. y falcon, ramon l., cnel.",10,sin dato,peaton-auto,olivera av.,auto,avenida,16:00:00,2020-0058,2020-11-24,2020,11,24,peaton,peaton,masculino,57,2020-11-25
2020-0059,1,brasil 1100,1,1100.0,peaton-pasajeros,brasil,pasajeros,calle,06:35:00,2020-0059,2020-12-01,2020,12,1,peaton,peaton,femenino,49,2020-12-14
2020-0060,1,"homero y peron, eva av.",9,sin dato,peaton-moto,homero,moto,avenida,20:30:00,2020-0060,2020-12-03,2020,12,3,peaton,peaton,femenino,69,2020-12-03
2020-0061,1,"cantilo, int. y udaondo, guillermo av.",13,sin dato,moto-cargas,"cantilo, int.",cargas,autopista,14:40:00,2020-0061,2020-12-03,2020,12,3,conductor,moto,masculino,45,2020-12-04
2020-0062,1,moreno 1845,3,1845.0,bicicleta-pasajeros,moreno,pasajeros,calle,17:19:00,2020-0062,2020-12-04,2020,12,4,ciclista,bicicleta,masculino,47,2020-12-04
2020-0063,2,nueva york y alta gracia,11,sin dato,peaton_moto-moto,nueva york,moto,calle,07:10:00,2020-0063,2020-12-05,2020,12,5,peaton,peaton,masculino,38,2020-12-05
2020-0063,2,nueva york y alta gracia,11,sin dato,peaton_moto-moto,nueva york,moto,calle,07:10:00,2020-0063,2020-12-05,2020,12,5,pasajero_acompañante,moto,masculino,21,2020-12-05
2020-0065,1,"paz, gral. av. y goyeneche, roberto parque av.",12,sin dato,moto-auto,"paz, gral. av.",auto,gral paz,16:00:00,2020-0065,2020-12-05,2020,12,5,conductor,moto,masculino,24,2020-12-06
2020-0066,1,autopista perito moreno altura estacion de tren villa luro,10,sin dato,moto-objeto fijo,autopista perito moreno,objeto fijo,autopista,04:30:00,2020-0066,2020-12-07,2020,12,7,conductor,moto,masculino,27,2020-12-07
2020-0067,1,saenz av. y beazley,4,sin dato,peaton-pasajeros,saenz av.,pasajeros,avenida,22:00:00,2020-0067,2020-12-11,2020,12,11,peaton,peaton,masculino,51,2020-12-11
2020-0068,1,del libertador av. y austria,2,sin dato,moto-auto,del libertador av.,auto,avenida,20:30:00,2020-0068,2020-12-12,2020,12,12,conductor,moto,masculino,71,2020-12-20
2020-0069,1,"independencia av. y saenz peña, luis, pres.",1,sin dato,moto-pasajeros,independencia av.,pasajeros,avenida,05:20:00,2020-0069,2020-12-15,2020,12,15,pasajero_acompañante,moto,masculino,25,2020-12-15
2020-0070,1,"callao av. y las heras, general",2,sin dato,peaton-pasajeros,callao av.,pasajeros,avenida,15:35:00,2020-0070,2020-12-17,2020,12,17,peaton,peaton,femenino,81,2020-12-22
2020-0071,1,san pedrito av. y directorio av.,7,sin dato,peaton-auto,san pedrito av.,auto,avenida,23:00:00,2020-0071,2020-12-17,2020,12,17,peaton,peaton,masculino,4,2020-12-17
2020-0072,1,"jujuy av. y carlos, calvo",3,sin dato,bicicleta-auto,jujuy av.,auto,avenida,03:30:00,2020-0072,2020-12-19,2020,12,19,ciclista,bicicleta,masculino,42,2020-12-19
2020-0073,1,27 de febrero av. y escalada av.,8,sin dato,moto-objeto fijo,27 de febrero av.,objeto fijo,avenida,07:40:00,2020-0073,2020-12-20,2020,12,20,conductor,moto,masculino,56,2020-12-20
2020-0074,1,bogota y nazca av.,7,sin dato,auto-auto,bogota,auto,avenida,21:00:00,2020-0074,2020-12-20,2020,12,20,conductor,auto,masculino,39,2020-12-20
2020-0075,1,corrientes av. y 9 de julio av.,1,sin dato,peaton-pasajeros,corrientes av.,pasajeros,avenida,14:00:00,2020-0075,2020-12-23,2020,12,23,peaton,peaton,masculino,23,2020-12-23
2020-0076,1,alvarez jonte av. y chivilcoy,10,sin dato,auto-pasajeros,alvarez jonte av.,pasajeros,avenida,12:30:00,2020-0076,2020-12-24,2020,12,24,conductor,auto,femenino,78,2021-01-17
2020-0077,2,san martin av. y punta arenas,15,sin dato,moto-auto,san martin av.,auto,avenida,06:40:00,2020-0077,2020-12-25,2020,12,25,conductor,moto,femenino,30,2020-12-25
2020-0077,2,san martin av. y punta arenas,15,sin dato,moto-auto,san martin av.,auto,avenida,06:40:00,2020-0077,2020-12-25,2020,12,25,pasajero_acompañante,moto,femenino,24,2020-12-25
2020-0078,1,barco centenera del 1118,7,1118.0,bicicleta-pasajeros,barco centenera del,pasajeros,calle,05:50:00,2020-0078,2020-12-25,2020,12,25,ciclista,bicicleta,masculino,26,2020-12-25
2020-0079,1,"paz, gral. av. y acceso norte - panamericana",12,sin dato,moto-objeto fijo,"paz, gral. av.",objeto fijo,gral paz,04:15:00,2020-0079,2020-12-27,2020,12,27,conductor,moto,masculino,28,2020-12-27
2021-0001,1,au frondizi km. 3,1,sin dato,moto-auto,autopista 1 sur presidente arturo frondizi,auto,autopista,18:00:00,2021-0001,2021-01-06,2021,1,6,conductor,moto,masculino,36,2021-01-06
2021-0002,1,"castro, emilio av. y murguiondo",9,sin dato,moto-cargas,"castro, emilio av.",cargas,avenida,10:20:00,2021-0002,2021-01-07,2021,1,7,conductor,moto,femenino,47,2021-01-07
2021-0003,1,"au 25 de mayo km. 3,7",7,sin dato,moto-objeto fijo,autopista 25 de mayo,objeto fijo,autopista,07:40:00,2021-0003,2021-01-10,2021,1,10,conductor,moto,masculino,27,2021-01-10
2021-0004,1,caseros av. y guarani,5,sin dato,peaton-cargas,caseros av.,cargas,avenida,09:12:18,2021-0004,2021-01-11,2021,1,11,peaton,peaton,femenino,61,2021-01-11
2021-0005,1,"peron, eva av. 3800",9,3800.0,peaton-auto,"peron, eva av.",auto,avenida,21:30:00,2021-0005,2021-01-11,2021,1,11,peaton,peaton,masculino,73,2021-01-14
2021-0006,1,au illia y sarmiento av.,14,sin dato,moto-cargas,autopista arturo illia,cargas,autopista,21:00:00,2021-0006,2021-01-12,2021,1,12,pasajero_acompañante,moto,femenino,23,2021-01-12
2021-0007,1,de los constituyentes av. y giribone,15,sin dato,moto-moto,de los constituyentes av.,moto,avenida,10:00:00,2021-0007,2021-01-18,2021,1,18,conductor,moto,masculino,84,2021-01-26
